event,method,day,rolling_ll,z
Q-NC-3,t,2,10.939154444120845,-1.1743565570985575
Q-NC-3,t,3,29.64889553538982,1.9194455946202764
Q-NC-3,t,4,30.01636702204032,1.9802098815523481
Q-NC-3,t,5,30.798395793547442,2.1095244607436023
Q-NC-3,t,6,33.96241655276658,2.632720061644956
Q-NC-3,t,7,29.864365218323112,1.955075193417893
Q-NC-3,t,8,14.626422420192245,-0.5646379328436705
Q-NC-3,t,9,15.419964022674012,-0.43341961692682585
Q-NC-3,t,10,14.811099467319991,-0.534100137425244
Q-NC-3,t,11,15.37720893991045,-0.4404895045541086
Q-NC-3,t,12,16.44684029856409,-0.26361758618785996
Q-NC-3,t,13,17.169407808222445,-0.1441353921137614
Q-NC-3,t,14,20.421853910688007,0.3936820314984333
Q-NC-3,t,15,18.261145637949397,0.03639200429677921
Q-NC-3,mps_chi2,0,-47.81998859533732,1.340538942364458
Q-NC-3,mps_chi2,1,-47.523594999961766,1.3600666471697662
Q-NC-3,mps_chi2,2,-47.56194445104359,1.3575400178098351
Q-NC-3,mps_chi2,3,-45.54725299783493,1.490276691563484
Q-NC-3,mps_chi2,4,-52.44937986395101,1.0355344229273444
Q-NC-3,mps_chi2,5,-56.4488559478389,0.7720314675308453
Q-NC-3,mps_chi2,6,-54.807693843842486,0.880158396062796
Q-NC-3,mps_chi2,7,-66.91125328984455,0.08272302754362333
Q-NC-3,mps_chi2,8,-77.79762171620123,-0.6345184795218631
Q-NC-3,mps_chi2,9,-79.41118708843382,-0.740827214813867
Q-NC-3,mps_chi2,10,-90.37636307945944,-1.4632609084963764
Q-NC-3,mps_chi2,11,-77.37669057360579,-0.6067856970858936
Q-NC-3,mps_chi2,12,-79.77740746684664,-0.7649554131113787
Q-NC-3,mps_chi2,13,-83.2487554952859,-0.9936629851827603
Q-NC-3,mps_chi2,14,-70.27431526353627,-0.13885018621288883
Q-NC-3,mps_chi2,15,-70.27431526353627,-0.13885018621288883
Q-NC-3,mps_chi4,0,-41.534444647436295,1.6467785969741935
Q-NC-3,mps_chi4,1,-38.85367817579723,1.8555351943656742
